Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Cell_type,source_name
SRR8110564,OTHER,500,5552988000,PRJNA498483,SAMN10293059,3245984699,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937076,GSM3446112,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446112,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110565,OTHER,500,3801087500,PRJNA498483,SAMN10293058,2318748621,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937078,GSM3446113,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446113,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110566,OTHER,500,7721862000,PRJNA498483,SAMN10293057,4700480733,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937079,GSM3446114,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446114,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110567,OTHER,500,8197099000,PRJNA498483,SAMN10293056,5001328195,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937080,GSM3446115,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446115,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110568,OTHER,500,5286844500,PRJNA498483,SAMN10293055,3239056194,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937081,GSM3446116,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446116,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110569,OTHER,500,4637295000,PRJNA498483,SAMN10293054,2846202906,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937082,GSM3446117,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446117,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110571,OTHER,500,4473165500,PRJNA498483,SAMN10293053,2731684769,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937083,GSM3446118,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446118,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110572,OTHER,500,1595822000,PRJNA498483,SAMN10293052,977016203,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937084,GSM3446119,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446119,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110573,OTHER,302,3234502748,PRJNA498483,SAMN10293051,1410401894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937085,GSM3446120,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446120,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110574,OTHER,302,2633667406,PRJNA498483,SAMN10293078,1156800535,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937086,GSM3446121,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446121,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110575,OTHER,302,3075024702,PRJNA498483,SAMN10293077,1350667315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937088,GSM3446122,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446122,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110576,OTHER,302,2868742394,PRJNA498483,SAMN10293076,1293779869,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937089,GSM3446123,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446123,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110577,OTHER,302,1940554454,PRJNA498483,SAMN10293075,848365705,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937090,GSM3446124,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446124,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110578,OTHER,302,2537258436,PRJNA498483,SAMN10293050,1119944571,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937091,GSM3446125,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446125,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110579,OTHER,302,2829514104,PRJNA498483,SAMN10293049,1248238824,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937092,GSM3446126,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446126,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110580,OTHER,302,3239643694,PRJNA498483,SAMN10293079,1450265885,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937093,GSM3446127,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446127,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110581,OTHER,302,2757733838,PRJNA498483,SAMN10293074,1203219938,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937094,GSM3446128,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446128,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110582,OTHER,302,2386664928,PRJNA498483,SAMN10293073,1043424253,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937095,GSM3446129,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446129,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110583,OTHER,302,2453661212,PRJNA498483,SAMN10293048,1064220340,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937097,GSM3446130,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446130,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110584,OTHER,302,2740884050,PRJNA498483,SAMN10293047,1197876490,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937098,GSM3446131,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446131,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110586,OTHER,302,2762660968,PRJNA498483,SAMN10293046,1206750903,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937099,GSM3446132,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446132,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110587,OTHER,302,4657808212,PRJNA498483,SAMN10293045,2020454850,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937100,GSM3446133,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446133,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110588,OTHER,302,1625769586,PRJNA498483,SAMN10293044,736766163,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937101,GSM3446134,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446134,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110589,OTHER,302,2796123474,PRJNA498483,SAMN10293043,1223472240,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937102,GSM3446135,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446135,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110590,OTHER,302,2585061110,PRJNA498483,SAMN10293042,1120905986,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937103,GSM3446136,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446136,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110591,OTHER,302,2693010708,PRJNA498483,SAMN10293041,1164809604,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937104,GSM3446137,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446137,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110592,OTHER,302,2147598406,PRJNA498483,SAMN10293040,998636527,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937105,GSM3446138,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446138,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110593,OTHER,302,2842612146,PRJNA498483,SAMN10293039,1234322632,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937106,GSM3446139,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446139,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110594,OTHER,302,2652202656,PRJNA498483,SAMN10293038,1140079139,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937108,GSM3446140,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446140,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110595,OTHER,302,2885504904,PRJNA498483,SAMN10293037,1254762787,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937109,GSM3446141,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446141,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110596,OTHER,302,935741262,PRJNA498483,SAMN10293036,423808848,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937110,GSM3446142,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446142,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110597,OTHER,302,2949275526,PRJNA498483,SAMN10293035,1293781236,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937111,GSM3446143,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446143,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110599,OTHER,302,2222919018,PRJNA498483,SAMN10293034,971908917,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937112,GSM3446144,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446144,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110600,OTHER,302,2692556500,PRJNA498483,SAMN10293033,1174324359,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937113,GSM3446145,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446145,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110601,OTHER,302,4875948248,PRJNA498483,SAMN10293032,2109131588,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937114,GSM3446146,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446146,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110602,OTHER,302,2049471358,PRJNA498483,SAMN10293031,905579561,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937115,GSM3446147,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446147,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110603,OTHER,302,2649105042,PRJNA498483,SAMN10293030,1152984175,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937116,GSM3446148,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446148,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110604,OTHER,302,2922498696,PRJNA498483,SAMN10293029,1249410180,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937117,GSM3446149,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446149,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110605,OTHER,302,2725670498,PRJNA498483,SAMN10293028,1169727523,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937118,GSM3446150,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446150,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110606,OTHER,302,2534110992,PRJNA498483,SAMN10293027,1096433957,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937119,GSM3446151,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446151,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110607,OTHER,302,2905473748,PRJNA498483,SAMN10293026,1290338191,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937121,GSM3446152,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446152,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110608,OTHER,302,2313448048,PRJNA498483,SAMN10293025,1016050633,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937122,GSM3446153,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446153,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110609,OTHER,302,2904397420,PRJNA498483,SAMN10293024,1254168207,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937123,GSM3446154,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446154,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110610,OTHER,302,3142116116,PRJNA498483,SAMN10293023,1394769448,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937124,GSM3446155,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446155,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110611,OTHER,302,2916332762,PRJNA498483,SAMN10293022,1264571215,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937125,GSM3446156,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446156,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110612,OTHER,302,2388476022,PRJNA498483,SAMN10293072,1044279619,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937126,GSM3446157,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446157,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110614,OTHER,302,2172524278,PRJNA498483,SAMN10293071,983657535,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937127,GSM3446158,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446158,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110615,OTHER,302,2732092830,PRJNA498483,SAMN10293070,1217855318,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937128,GSM3446159,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446159,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110616,OTHER,302,2581860212,PRJNA498483,SAMN10311563,1101666730,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937129,GSM3446160,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446160,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110617,OTHER,302,2490513668,PRJNA498483,SAMN10311562,1109571479,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937130,GSM3446161,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446161,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110618,OTHER,302,2774079286,PRJNA498483,SAMN10311561,1197181354,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937131,GSM3446162,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446162,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110619,OTHER,302,2385852246,PRJNA498483,SAMN10311560,1027204310,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937133,GSM3446163,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446163,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110620,OTHER,302,1959121112,PRJNA498483,SAMN10311559,869984240,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937134,GSM3446164,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446164,SRP166868,,
SRR8110621,OTHER,302,2755666044,PRJNA498483,SAMN10311558,1188477711,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937135,GSM3446165,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446165,SRP166868,,
SRR8110622,OTHER,302,2816720478,PRJNA498483,SAMN10311557,1216562246,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937136,GSM3446166,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446166,SRP166868,,
SRR8110623,OTHER,302,427559822,PRJNA498483,SAMN10311556,191217908,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937137,GSM3446167,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446167,SRP166868,,
SRR8110624,OTHER,302,832901202,PRJNA498483,SAMN10311555,378655362,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937138,GSM3446168,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446168,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110625,OTHER,302,2619770272,PRJNA498483,SAMN10311554,1157922085,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937139,GSM3446169,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446169,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110626,OTHER,302,2435721204,PRJNA498483,SAMN10311553,1067353521,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937140,GSM3446170,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446170,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110627,OTHER,302,2337336550,PRJNA498483,SAMN10311552,1008816339,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937141,GSM3446171,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446171,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110628,OTHER,302,1611020208,PRJNA498483,SAMN10311551,729022537,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937142,GSM3446172,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446172,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110629,OTHER,302,1780305402,PRJNA498483,SAMN10311550,771980697,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937143,GSM3446173,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446173,SRP166868,main olfactory epithelium,main olfactory epithelium
